German_Headword,English_Meaning,Example_Sentence_DE,Example_Sentence_EN,,YouGlish_Link
"lang (länger, am längsten)",long,Die Hose ist zu <b>lang</b>.,The trousers are too long.,,https://youglish.com/pronounce/lang/german
lange,long time,Wie <b>lange</b> fährt der Zug von Hamburg nach Berlin?,How long does the train take from Hamburg to Berlin?,,https://youglish.com/pronounce/lange/german
langsam,slow / slowly,Könnten Sie bitte etwas <b>langsamer</b> sprechen?,Could you please speak a bit slower?,,https://youglish.com/pronounce/langsam/german
langweilig,boring,Sie findet Fußball sehr <b>langweilig</b>.,She finds football very boring.,,https://youglish.com/pronounce/langweilig/german
"der/das Laptop, -s",laptop,Ich brauche einen neuen <b>Laptop</b>.,I need a new laptop.,,https://youglish.com/pronounce/Laptop/german
"lassen | lässt, ließ, hat gelassen",to let / allow / leave,<b>Lass</b> mich in Ruhe!,Leave me in peace!,,https://youglish.com/pronounce/lassen/german
"laufen | läuft, lief, ist gelaufen",to run / walk,Ich gehe jeden Morgen <b>laufen</b>.,I go running every morning.,,https://youglish.com/pronounce/laufen/german
laut,loud / noisy,Nicht so <b>laut</b>! Das Baby schläft.,Not so loud! The baby is sleeping.,,https://youglish.com/pronounce/laut/german
leben,to live,Sie <b>lebt</b> bei ihrer Schwester.,She lives with her sister.,,https://youglish.com/pronounce/leben/german
"das Leben, -",life,Hier in London ist das <b>Leben</b> teuer.,Here in London life is expensive.,,https://youglish.com/pronounce/Leben/german
die Lebensmittel (nur Pl.),groceries / food,<b>Lebensmittel</b> bekommen Sie im Supermarkt.,You can get groceries at the supermarket.,,https://youglish.com/pronounce/Lebensmittel/german
leer,empty,Die Kanne ist fast <b>leer</b>.,The pot is almost empty.,,https://youglish.com/pronounce/leer/german
legen,to lay / put down,<b>Legen</b> Sie das Buch auf den Tisch.,Lay the book on the table.,,https://youglish.com/pronounce/legen/german
leicht,easy / light,"Das Paket ist <b>leicht</b>, es wiegt nur ein Kilo.",The parcel is light; it only weighs one kilo.,,https://youglish.com/pronounce/leicht/german
leider,unfortunately,<b>Leider</b> kann ich nicht kommen.,Unfortunately I cannot come.,,https://youglish.com/pronounce/leider/german
"leidtun | tut leid, tat leid, hat leidgetan",to be sorry,"Es <b>tut mir leid</b>, dass ich nicht kommen kann.",I am sorry that I cannot come.,,https://youglish.com/pronounce/leidtun/german
"leihen | leiht, lieh, hat geliehen",to lend / borrow,Kannst du mir fünf Euro <b>leihen</b>?,Can you lend me five euros?,,https://youglish.com/pronounce/leihen/german
leise,quiet / soft,Seid <b>leise</b>. Die anderen schlafen schon.,Be quiet. The others are already sleeping.,,https://youglish.com/pronounce/leise/german
lernen,to learn / study,Wie lange <b>lernen</b> Sie schon Deutsch?,How long have you been learning German?,,https://youglish.com/pronounce/lernen/german
"lesen | liest, las, hat gelesen",to read,In der Schule <b>lesen</b> wir ein Buch von Goethe.,In school we are reading a book by Goethe.,,https://youglish.com/pronounce/lesen/german
letzt-,last / previous,Was hast du <b>letzte</b> Woche gemacht?,What did you do last week?,,https://youglish.com/pronounce/letzt/german
die Leute (nur Pl.),people,Auf der Party sind viele <b>Leute</b>.,There are many people at the party.,,https://youglish.com/pronounce/Leute/german
"das Licht, -er",light,Es ist so dunkel. Mach bitte das <b>Licht</b> an!,It is so dark. Please turn the light on!,,https://youglish.com/pronounce/Licht/german
lieb-,dear / kind,"<b>Liebe</b> Susanne, lieber Hans,","Dear Susanne, dear Hans,",,https://youglish.com/pronounce/lieb/german
lieben,to love,Ich <b>liebe</b> dich!,I love you!,,https://youglish.com/pronounce/lieben/german
Lieblings-,favorite,Meine <b>Lieblings</b>farbe ist Blau.,My favorite color is blue.,,https://youglish.com/pronounce/Lieblings/german
"das Lied, -er",song,Zum Geburtstag singen wir dir ein <b>Lied</b>.,For your birthday we will sing you a song.,,https://youglish.com/pronounce/Lied/german
liefern,to deliver,Wir <b>liefern</b> Ihnen den Schrank nach Hause.,We deliver the cupboard to your home.,,https://youglish.com/pronounce/liefern/german
"liegen | liegt, lag, hat/ist gelegen",to lie / be situated,Die Zeitung <b>liegt</b> auf dem Tisch.,The newspaper is lying on the table.,,https://youglish.com/pronounce/liegen/german
"der Link, -s",link (web),Ich schicke dir einen <b>Link</b> zu Deutschübungen.,I'll send you a link for German exercises.,,https://youglish.com/pronounce/Link/german
links,left / on the left,Gehen Sie die nächste Straße <b>links</b>.,Take the next street on the left.,,https://youglish.com/pronounce/links/german
"der Löffel, -",spoon,Bitte bringen Sie mir einen <b>Löffel</b>.,Please bring me a spoon.,,https://youglish.com/pronounce/Löffel/german
"das Lokal, -e",pub / restaurant,Gibt es hier in der Nähe ein gutes <b>Lokal</b>?,Is there a good restaurant nearby?,,https://youglish.com/pronounce/Lokal/german
"die Lüge, -n",lie / falsehood,Das stimmt nicht! Das ist eine <b>Lüge</b>!,That isn't true! That is a lie!,,https://youglish.com/pronounce/Lüge/german
"lügen | lügt, log, hat gelogen",to lie / tell untruth,Du sollst nicht <b>lügen</b>.,You should not lie.,,https://youglish.com/pronounce/lügen/german
die Lust (kein Pl.),desire / mood for,"Gehen wir heute Abend ins Kino? Nein, ich habe keine <b>Lust</b>.","Shall we go to the cinema tonight? No, I don't feel like it.",,https://youglish.com/pronounce/Lust/german
lustig,funny / amusing,Warum lacht ihr? Was ist so <b>lustig</b>?,Why are you laughing? What is so funny?,,https://youglish.com/pronounce/lustig/german
machen,to do / make,Was <b>machst</b> du heute Abend?,What are you doing tonight?,,https://youglish.com/pronounce/machen/german
"das Mädchen, -",girl,Familie Kurz bekommt ein Baby. Junge oder <b>Mädchen</b>?,The Kurz family is having a baby. Boy or girl?,,https://youglish.com/pronounce/Mädchen/german
"der Magen, -",stomach,Mein <b>Magen</b> tut weh.,My stomach hurts.,,https://youglish.com/pronounce/Magen/german
"die Mailbox, -en",voicemail / mailbox,Ich habe dir auf die <b>Mailbox</b> gesprochen.,I left a message on your voicemail.,,https://youglish.com/pronounce/Mailbox/german
"mal / das Mal, -e",times / once,Das erste <b>Mal</b> war ich vor fünf Jahren in England.,The first time I was in England was five years ago.,,https://youglish.com/pronounce/mal/german
malen,to paint / draw,Mein Sohn kann gut <b>malen</b>.,My son can paint well.,,https://youglish.com/pronounce/malen/german
man,one / you (pronoun),Wie schreibt <b>man</b> das?,How does one write that?,,https://youglish.com/pronounce/man/german
manch-,some,<b>Manche</b> Nachbarn sind unfreundlich.,Some neighbors are unfriendly.,,https://youglish.com/pronounce/manch/german
manchmal,sometimes,<b>Manchmal</b> essen wir im Restaurant.,Sometimes we eat in a restaurant.,,https://youglish.com/pronounce/manchmal/german
"der Mann, -er",man / husband,Mein <b>Mann</b> ist Polizist.,My husband is a police officer.,,https://youglish.com/pronounce/Mann/german
männlich,male / masculine,Bitte wählen Sie „weiblich“ oder „<b>männlich</b>“.,Please choose 'female' or 'male'.,,https://youglish.com/pronounce/männlich/german
"die Mannschaft, -en",team,Meine Lieblings<b>mannschaft</b> hat 1:0 verloren.,My favorite team lost 1-0.,,https://youglish.com/pronounce/Mannschaft/german
"der Mantel, -",coat,Es ist kalt. Zieh deinen <b>Mantel</b> an!,It is cold. Put on your coat!,,https://youglish.com/pronounce/Mantel/german
"der Markt, -e",market / marketplace,Ich gehe heute auf den <b>Markt</b>.,I am going to the market today.,,https://youglish.com/pronounce/Markt/german
"die Maschine, -n",machine,Die Wasch<b>maschine</b> funktioniert sehr gut.,The washing machine functions very well.,,https://youglish.com/pronounce/Maschine/german
"das Medikament, -e",medication / medicine,Nehmen Sie dieses <b>Medikament</b> dreimal pro Tag!,Take this medication three times a day!,,https://youglish.com/pronounce/Medikament/german
"das Meer, -e",sea / ocean,Wir machen Urlaub am <b>Meer</b>.,We are taking a vacation at the sea.,,https://youglish.com/pronounce/Meer/german
mehr,more,Dieses Auto kostet 1.000 Euro <b>mehr</b> als das andere.,"This car costs 1,000 euros more than the other one.",,https://youglish.com/pronounce/mehr/german
meinen,to think / mean,Der Film ist gut. Was <b>meinst</b> du?,The film is good. What do you think?,,https://youglish.com/pronounce/meinen/german
"die Meinung, -en",opinion,Meine <b>Meinung</b> zu dem Thema ist eindeutig.,My opinion on this topic is clear.,,https://youglish.com/pronounce/Meinung/german
meist-,most,Die <b>meisten</b> Nachbarn kenne ich noch nicht.,Most of the neighbors I don't know yet.,,https://youglish.com/pronounce/meist/german
meistens,mostly / usually,<b>Meistens</b> trinke ich zum Frühstück nur einen Kaffee.,Mostly I only drink a coffee for breakfast.,,https://youglish.com/pronounce/meistens/german
"die Menge, -n",amount / lot,Wir haben noch eine <b>Menge</b> Zeit.,We still have plenty of time.,,https://youglish.com/pronounce/Menge/german
"der Mensch, -en",person / human,Die <b>Menschen</b> sind hier ein bisschen anders als im Süden.,The people here are a bit different from those in the south.,,https://youglish.com/pronounce/Mensch/german
merken (sich),to notice / memorize,Ich kann mir keine Zahlen <b>merken</b>.,I cannot remember numbers.,,https://youglish.com/pronounce/merken/german
"die Messe, -n",trade fair,Kommst du mit zur Buch<b>messe</b> nach Frankfurt?,Are you coming along to the book fair in Frankfurt?,,https://youglish.com/pronounce/Messe/german
"das Messer, -",knife,Das <b>Messer</b> schneidet nicht gut.,The knife does not cut well.,,https://youglish.com/pronounce/Messer/german
"die Miete, -n",rent,Wie viel <b>Miete</b> bezahlst du für deine Wohnung?,How much rent do you pay for your apartment?,,https://youglish.com/pronounce/Miete/german
mieten,to rent / hire,Ich möchte ein Auto <b>mieten</b>.,I would like to rent a car.,,https://youglish.com/pronounce/mieten/german
die Milch (kein Pl.),milk,Die <b>Milch</b> steht im Kühlschrank.,The milk is in the fridge.,,https://youglish.com/pronounce/Milch/german
mindestens,at least,Schreiben Sie <b>mindestens</b> sieben Sätze!,Write at least seven sentences!,,https://youglish.com/pronounce/mindestens/german
das Mineralwasser (kein Pl.),mineral water,"Ein Glas <b>Mineralwasser</b>, bitte.","A glass of mineral water, please.",,https://youglish.com/pronounce/Mineralwasser/german
mit (+ Dat.),with,Trinken Sie den Kaffee <b>mit</b> oder ohne Zucker?,Do you drink coffee with or without sugar?,,https://youglish.com/pronounce/mit/german
"der Mitarbeiter, -",employee / coworker,Unsere Firma hat sieben <b>Mitarbeiter</b>.,Our company has seven employees.,,https://youglish.com/pronounce/Mitarbeiter/german
"das Mittagessen, -",lunch,Um zwölf Uhr gibt es <b>Mittagessen</b>.,At twelve o'clock there is lunch.,,https://youglish.com/pronounce/Mittagessen/german
"die Mitte, -n",middle / center,"Den Schrank stellen wir an die Wand, den Tisch in die <b>Mitte</b>.","We place the cabinet against the wall, the table in the middle.",,https://youglish.com/pronounce/Mitte/german
"das Mittel, -",remedy / means,Haben Sie ein <b>Mittel</b> gegen Magenschmerzen?,Do you have a remedy for stomach aches?,,https://youglish.com/pronounce/Mittel/german
die Möbel (nur Pl.),furniture,Eure <b>Möbel</b> sind sehr schön.,Your furniture is very beautiful.,,https://youglish.com/pronounce/Möbel/german
"das Mobiltelefon, -e",mobile phone,Haben Sie ein <b>Mobiltelefon</b>?,Do you have a mobile phone?,,https://youglish.com/pronounce/Mobiltelefon/german
"möchten | möchte, mochte, hat gemocht",would like to,Was <b>möchten</b> Sie trinken?,What would you like to drink?,,https://youglish.com/pronounce/möchten/german
"die Mode, -n",fashion,Wie findest du die neue <b>Mode</b>?,What do you think of the new fashion?,,https://youglish.com/pronounce/Mode/german
modern,modern,Das Stadtzentrum von Frankfurt ist sehr <b>modern</b>.,The city center of Frankfurt is very modern.,,https://youglish.com/pronounce/modern/german
"mögen | mag, mochte, hat gemocht",to like,<b>Magst</b> du Schokolade?,Do you like chocolate?,,https://youglish.com/pronounce/mögen/german
möglich,possible,Kann ich bitte sofort einen Termin haben? - Das ist leider nicht <b>möglich</b>.,May I please have an appointment right away? Unfortunately that is not possible.,,https://youglish.com/pronounce/möglich/german
"der Moment, -e",moment,"Einen <b>Moment</b>, bitte.","One moment, please.",,https://youglish.com/pronounce/Moment/german
morgen,tomorrow,<b>Morgen</b> beginnt die Schule erst um zehn Uhr.,Tomorrow school starts only at ten o'clock.,,https://youglish.com/pronounce/morgen/german
"der Motor, -en",engine / motor,Der <b>Motor</b> ist kaputt.,The engine is broken.,,https://youglish.com/pronounce/Motor/german
"der Motorroller, -",motor scooter,Oskar fährt mit dem <b>Motorroller</b> zur Arbeit.,Oskar rides to work on a motor scooter.,,https://youglish.com/pronounce/Motorroller/german
müde,tired,Ich bin <b>müde</b>. Ich gehe schlafen.,I am tired. I am going to sleep.,,https://youglish.com/pronounce/müde/german
der Müll (kein Pl.),garbage / trash,Bringst du bitte den <b>Müll</b> raus?,Could you please take the garbage out?,,https://youglish.com/pronounce/Müll/german
"der Mund, -er",mouth,Öffnen Sie bitte den <b>Mund</b>.,Please open your mouth.,,https://youglish.com/pronounce/Mund/german
"das Museum, Museen",museum,Im Kunst<b>museum</b> gibt es eine neue Ausstellung.,There is a new exhibition at the art museum.,,https://youglish.com/pronounce/Museum/german
die Musik (kein Pl.),music,Spanische <b>Musik</b> gefällt mir gut.,I like Spanish music.,,https://youglish.com/pronounce/Musik/german
"müssen | muss, musste, hat gemusst",must / to have to,Ich <b>muss</b> jeden Tag von 8 Uhr bis 18 Uhr arbeiten.,I have to work every day from 8 AM to 6 PM.,,https://youglish.com/pronounce/müssen/german
"die Mütze, -n",cap / beanie,Haben Sie rote <b>Mützen</b>?,Do you have red caps?,,https://youglish.com/pronounce/Mütze/german
nach (+ Dat.),to / after / past,Ich fliege <b>nach</b> München.,I am flying to Munich.,,https://youglish.com/pronounce/nach/german
"der Nachbar, -n / die Nachbarin, -nen",neighbor,Die neuen <b>Nachbarn</b> sind sehr nett.,The new neighbors are very nice.,,https://youglish.com/pronounce/Nachbar/german
"die Nachricht, -en",news / message,Ich sehe abends immer die <b>Nachrichten</b> im Fernsehen.,In the evenings I always watch the news on TV.,,https://youglish.com/pronounce/Nachricht/german
nächst-,next,Sehen wir uns <b>nächste</b> Woche?,Will we see each other next week?,,https://youglish.com/pronounce/nächst/german
die Nähe (kein Pl.),vicinity / proximity,Die Post ist in der <b>Nähe</b> vom Bahnhof.,The post office is near the train station.,,https://youglish.com/pronounce/Nähe/german
"der Name, -n",name,Wie ist Ihr <b>Name</b>?,What is your name?,,https://youglish.com/pronounce/Name/german
"nass (nässer, am nassesten)",wet,Geh nicht mit den <b>nassen</b> Schuhen ins Wohnzimmer!,Don't go into the living room with wet shoes!,,https://youglish.com/pronounce/nass/german
die Natur (kein Pl.),nature,Ich bin gern draußen in der <b>Natur</b>.,I like being outside in nature.,,https://youglish.com/pronounce/Natur/german
natürlich,natural / of course,<b>Natürlich</b> helfen wir dir.,Of course we will help you.,,https://youglish.com/pronounce/natürlich/german
neben (+ Dat./Akk.),next to / beside,Neben mir ist noch ein Platz frei.,Next to me another seat is vacant.,,https://youglish.com/pronounce/neben/german
nebenan,next door,Das ist José. Er wohnt <b>nebenan</b>.,This is José. He lives next door.,,https://youglish.com/pronounce/nebenan/german
neblig,foggy,Fahr vorsichtig! Es ist <b>neblig</b>.,Drive carefully! It is foggy.,,https://youglish.com/pronounce/neblig/german
"nehmen | nimmt, nahm, hat genommen",to take,<b>Nehmen</b> Sie die Tabletten vor dem Essen!,Take the tablets before meals!,,https://youglish.com/pronounce/nehmen/german
nein,no,"Möchten Sie ein Stück Kuchen? - <b>Nein</b>, danke.","Would you like a piece of cake? No, thank you.",,https://youglish.com/pronounce/nein/german
"nennen | nennt, nannte, hat genannt",to name / call,Alle <b>nennen</b> ihn Alex.,Everyone calls him Alex.,,https://youglish.com/pronounce/nennen/german
nervös,nervous,Bei Prüfungen bin ich immer sehr <b>nervös</b>.,During exams I am always very nervous.,,https://youglish.com/pronounce/nervös/german
nett,nice / kind,Vielen Dank! Das ist sehr <b>nett</b> von dir.,Thank you very much! That is very kind of you.,,https://youglish.com/pronounce/nett/german
neu,new,Wir haben eine <b>neue</b> Wohnung.,We have a new apartment.,,https://youglish.com/pronounce/neu/german
nicht,not,Das stimmt <b>nicht</b>.,That is not correct.,,https://youglish.com/pronounce/nicht/german
nichts,nothing,Das macht <b>nichts</b>.,That doesn't matter.,,https://youglish.com/pronounce/nichts/german
nie,never,Er kommt <b>nie</b> pünktlich.,He never arrives on time.,,https://youglish.com/pronounce/nie/german
niemand,nobody / no one,Hier ist <b>niemand</b>.,Nobody is here.,,https://youglish.com/pronounce/niemand/german
nirgends,nowhere,Hier kann man <b>nirgends</b> parken.,You can park nowhere here.,,https://youglish.com/pronounce/nirgends/german
noch,still / yet,Vielleicht kommt er <b>noch</b>.,Maybe he will still come.,,https://youglish.com/pronounce/noch/german
normal,normal,Das ist doch ganz <b>normal</b>.,That is completely normal.,,https://youglish.com/pronounce/normal/german
"die Note, -n",grade / mark / musical note,Eva hat immer sehr gute <b>Noten</b> in Deutsch.,Eva always has very good grades in German.,,https://youglish.com/pronounce/Note/german
notieren,to note down,<b>Notieren</b> Sie bitte alle wichtigen Informationen.,Please write down all important information.,,https://youglish.com/pronounce/notieren/german
"die Notiz, -en",note / memo,Schreib mir bitte eine <b>Notiz</b>.,Please write me a note.,,https://youglish.com/pronounce/Notiz/german
notwendig,necessary,Das ist nicht <b>notwendig</b>.,That is not necessary.,,https://youglish.com/pronounce/notwendig/german
"die Nudel, -n",noodle / pasta,Möchten Sie lieber Reis oder <b>Nudeln</b>?,Would you prefer rice or pasta?,,https://youglish.com/pronounce/Nudel/german
"die Nummer, -n",number,Sie haben Zimmer <b>Nummer</b> zwölf.,You have room number twelve.,,https://youglish.com/pronounce/Nummer/german
nur,only / just,Das T-Shirt kostet <b>nur</b> fünf Euro.,The T-shirt costs only five euros.,,https://youglish.com/pronounce/nur/german
nützlich,useful,Danke für den Tipp. Er war sehr <b>nützlich</b>.,Thanks for the tip. It was very useful.,,https://youglish.com/pronounce/nützlich/german
oben,up / upstairs,Ich wohne <b>oben</b> im 4. Stock.,I live up on the 4th floor.,,https://youglish.com/pronounce/oben/german
das Obst (kein Pl.),fruit,<b>Obst</b> kaufe ich immer auf dem Markt.,I always buy fruit at the market.,,https://youglish.com/pronounce/Obst/german
oder,or,Wann können Sie kommen: heute <b>oder</b> morgen?,When can you come: today or tomorrow?,,https://youglish.com/pronounce/oder/german
offen,open,Ist das Fenster im Bad noch <b>offen</b>?,Is the bathroom window still open?,,https://youglish.com/pronounce/offen/german
öffnen,to open,Ich <b>öffne</b> die Tür.,I open the door.,,https://youglish.com/pronounce/öffnen/german
"oft (öfter, am öftesten)",often,Ich gehe nicht <b>oft</b> ins Kino.,I do not go to the cinema often.,,https://youglish.com/pronounce/oft/german
ohne (+ Akk.),without,Bitte einen Kaffee <b>ohne</b> Milch und Zucker.,"A coffee without milk and sugar, please.",,https://youglish.com/pronounce/ohne/german
"das Ohr, -en",ear,Ich habe <b>Ohren</b>schmerzen.,I have an earache.,,https://youglish.com/pronounce/Ohr/german
"das Öl, -e",oil,Machen wir den Salat mit <b>Öl</b>?,Shall we prepare the salad with oil?,,https://youglish.com/pronounce/Öl/german
online,online,Wann bist du wieder <b>online</b>?,When are you online again?,,https://youglish.com/pronounce/online/german
"die Orange, -n",orange (fruit),Ich esse gern <b>Orangen</b>.,I like eating oranges.,,https://youglish.com/pronounce/Orange/german
"die Ordnung, -en",order / neatness,Das ist alles in <b>Ordnung</b>.,Everything is in order.,,https://youglish.com/pronounce/Ordnung/german
organisieren,to organize,Frau Gomez <b>organisiert</b> unseren Ausflug.,Ms. Gomez is organizing our excursion.,,https://youglish.com/pronounce/organisieren/german
"der Ort, -e",place / location / town,Vergessen Sie <b>Ort</b> und Datum nicht!,Don't forget location and date!,,https://youglish.com/pronounce/Ort/german
"das Paar, -e",pair / couple,Romeo und Julia sind ein <b>Paar</b>.,Romeo and Juliet are a couple.,,https://youglish.com/pronounce/Paar/german
ein paar,a few / a couple of,Hast du ein <b>paar</b> Minuten Zeit?,Do you have a few minutes?,,https://youglish.com/pronounce/paar/german
packen,to pack,Ich muss noch meinen Koffer <b>packen</b>.,I still have to pack my suitcase.,,https://youglish.com/pronounce/packen/german
"das Paket, -e",package / parcel,Bringst du bitte das <b>Paket</b> zur Post?,Could you please take the parcel to the post office?,,https://youglish.com/pronounce/Paket/german
"das Papier, -e / die Papiere (Pl.)",paper / documents,Hier sind <b>Papier</b> und Bleistift.,Here are paper and pencil.,,https://youglish.com/pronounce/Papier/german
"das Parfüm, -s",perfume,Ich suche ein <b>Parfüm</b> als Geschenk für meine Frau.,I am looking for a perfume as a gift for my wife.,,https://youglish.com/pronounce/Parfüm/german
"der Park, -s",park,Ich gehe gern im <b>Park</b> spazieren.,I enjoy walking in the park.,,https://youglish.com/pronounce/Park/german
parken,to park,Darf ich hier <b>parken</b>?,Am I allowed to park here?,,https://youglish.com/pronounce/parken/german
"der Partner, - / die Partnerin, -nen",partner,Veronika ist meine <b>Partnerin</b>.,Veronika is my partner.,,https://youglish.com/pronounce/Partner/german
"die Party, -s",party,Heute Abend machen wir eine <b>Party</b>.,Tonight we are having a party.,,https://youglish.com/pronounce/Party/german
"der Pass, -e",passport,Am Flughafen brauchst du deinen <b>Pass</b>.,At the airport you need your passport.,,https://youglish.com/pronounce/Pass/german
passen zu (+ Dat.),to fit / suit,Die Bluse <b>passt</b> mir nicht.,The blouse doesn't fit me.,,https://youglish.com/pronounce/passen/german
"passieren | passiert, passierte, ist passiert",to happen,Wie ist der Unfall <b>passiert</b>?,How did the accident happen?,,https://youglish.com/pronounce/passieren/german
"das Passwort, -er",password,Ich habe mein <b>Passwort</b> vergessen.,I have forgotten my password.,,https://youglish.com/pronounce/Passwort/german
"die Pause, -n",break / pause,Von 12.00 bis 12.30 Uhr haben wir Mittags<b>pause</b>.,From 12:00 to 12:30 we have a lunch break.,,https://youglish.com/pronounce/Pause/german
"die Person, -en",person,Eintritt pro <b>Person</b>: 5 Euro.,Admission per person: 5 euros.,,https://youglish.com/pronounce/Person/german
"das Pferd, -e",horse,Amira liebt <b>Pferde</b>.,Amira loves horses.,,https://youglish.com/pronounce/Pferd/german
"die Pflanze, -n",plant,Können Sie sich bitte um unsere <b>Pflanzen</b> kümmern?,Could you please take care of our plants?,,https://youglish.com/pronounce/Pflanze/german
"die Pizza, -s/-en",pizza,Mein Lieblingsessen ist <b>Pizza</b>.,My favorite food is pizza.,,https://youglish.com/pronounce/Pizza/german
"das Plakat, -e",poster / placard,Wir machen im Unterricht ein <b>Plakat</b> zum Thema Essen.,In class we are making a poster about food.,,https://youglish.com/pronounce/Plakat/german
"der Plan, -e",plan / map,Ich kaufe mir einen Stadt<b>plan</b>.,I am buying myself a city map.,,https://youglish.com/pronounce/Plan/german
planen,to plan,Wir sollen zusammen eine Klassenparty <b>planen</b>.,We are supposed to plan a class party together.,,https://youglish.com/pronounce/planen/german
"der Platz, -e",place / seat / square,Hier ist noch ein <b>Platz</b> frei.,Here is another seat available.,,https://youglish.com/pronounce/Platz/german
plötzlich,suddenly,<b>Plötzlich</b> war das Licht aus.,Suddenly the light went out.,,https://youglish.com/pronounce/plötzlich/german
die Polizei (kein Pl.),police,Rufen Sie die <b>Polizei</b>!,Call the police!,,https://youglish.com/pronounce/Polizei/german
die Pommes frites (nur Pl.),french fries,Die Kinder essen Bratwurst mit <b>Pommes frites</b>.,The children are eating bratwurst with french fries.,,https://youglish.com/pronounce/Pommes/german
"die Portion, -en",portion / serving,Ich nehme eine kleine <b>Portion</b> Eis.,I'll take a small portion of ice cream.,,https://youglish.com/pronounce/Portion/german
die Post (kein Pl.),post office / mail,"Entschuldigung, wo ist die <b>Post</b>?","Excuse me, where is the post office?",,https://youglish.com/pronounce/Post/german
"das Poster, -",poster,Das <b>Poster</b> hängt über dem Bett.,The poster hangs above the bed.,,https://youglish.com/pronounce/Poster/german
"die Postkarte, -n",postcard,Schreibst du mir eine <b>Postkarte</b> aus Kanada?,Will you write me a postcard from Canada?,,https://youglish.com/pronounce/Postkarte/german
"die Postleitzahl, -en",postal code / ZIP,Wie ist Ihre <b>Postleitzahl</b>?,What is your postal code?,,https://youglish.com/pronounce/Postleitzahl/german
"das Praktikum, Praktika",internship,Ich mache ein <b>Praktikum</b> bei Siemens.,I am doing an internship at Siemens.,,https://youglish.com/pronounce/Praktikum/german
praktisch,practical,Das finde ich sehr <b>praktisch</b>.,I find that very practical.,,https://youglish.com/pronounce/praktisch/german
"die Praxis, Praxen",medical practice,Unsere <b>Praxis</b> ist ab acht Uhr geöffnet.,Our medical practice is open from eight o'clock.,,https://youglish.com/pronounce/Praxis/german
"der Preis, -e",price / award,Die <b>Preise</b> sind hier viel höher als bei uns.,The prices here are much higher than where we live.,,https://youglish.com/pronounce/Preis/german
preiswert,inexpensive / value,Die Jacke ist sehr <b>preiswert</b>.,The jacket is very inexpensive.,,https://youglish.com/pronounce/preiswert/german
privat,private,Dieser Strand ist <b>privat</b>.,This beach is private.,,https://youglish.com/pronounce/privat/german
pro (+ Dat.),per,Das Zimmer kostet 100 Euro <b>pro</b> Nacht.,The room costs 100 euros per night.,,https://youglish.com/pronounce/pro/german
probieren,to try / taste,Möchten Sie den Käse <b>probieren</b>?,Would you like to taste the cheese?,,https://youglish.com/pronounce/probieren/german
"das Problem, -e",problem,Ich habe ein <b>Problem</b>.,I have a problem.,,https://youglish.com/pronounce/Problem/german
"das Produkt, -e",product,Unsere <b>Produkte</b> haben eine sehr hohe Qualität.,Our products have very high quality.,,https://youglish.com/pronounce/Produkt/german
"das Programm, -e",program / schedule,Was kommt heute im Kino? Hast du das <b>Programm</b> hier?,What's on at the cinema today? Do you have the program here?,,https://youglish.com/pronounce/Programm/german
"das Projekt, -e",project,Wir machen ein <b>Projekt</b> über Sehenswürdigkeiten.,We are doing a project on sights.,,https://youglish.com/pronounce/Projekt/german
"der Prospekt, -e",brochure / leaflet,Bitte schicken Sie mir einen <b>Prospekt</b> von Ihrem Hotel.,Please send me a brochure of your hotel.,,https://youglish.com/pronounce/Prospekt/german
prüfen,to check / examine,Bitte <b>prüfen</b> Sie die Rechnung sofort.,Please check the invoice immediately.,,https://youglish.com/pronounce/prüfen/german
"die Prüfung, -en",examination / test,Ich habe die <b>Prüfung</b> bestanden.,I passed the examination.,,https://youglish.com/pronounce/Prüfung/german
"der Pullover, -",pullover / sweater,Ich muss mir einen <b>Pullover</b> kaufen.,I have to buy myself a sweater.,,https://youglish.com/pronounce/Pullover/german
pünktlich,punctual / on time,Der Bus fährt <b>pünktlich</b> um acht Uhr.,The bus departs punctually at eight o'clock.,,https://youglish.com/pronounce/pünktlich/german
putzen,to clean,Ich muss heute noch das Bad <b>putzen</b>.,I still have to clean the bathroom today.,,https://youglish.com/pronounce/putzen/german
"die Qualität, -en",quality,Dieser Fernseher hat eine gute <b>Qualität</b>.,This television has good quality.,,https://youglish.com/pronounce/Qualität/german
das Quiz (kein Pl.),quiz,Er schaut gern <b>Quiz</b>sendungen an.,He likes watching quiz shows.,,https://youglish.com/pronounce/Quiz/german
"das Radio, -s",radio,Ich höre im Auto gern <b>Radio</b>.,I like listening to the radio in the car.,,https://youglish.com/pronounce/Radio/german
"raten zu (+ Dat.) | rät, riet, hat geraten",to advise / guess,Was <b>raten</b> Sie mir?,What do you advise me?,,https://youglish.com/pronounce/raten/german
"das Rathaus, -er",town hall / city hall,Das Formular bekommen Sie im <b>Rathaus</b>.,You get the form at the town hall.,,https://youglish.com/pronounce/Rathaus/german
"das Rätsel, -",riddle / puzzle,Das <b>Rätsel</b> ist schwierig!,The riddle is difficult!,,https://youglish.com/pronounce/Rätsel/german
rauchen,to smoke,<b>Rauchen</b> ist hier verboten!,Smoking is forbidden here!,,https://youglish.com/pronounce/rauchen/german
"der Raum, -e",room / space,Der Unterricht findet heute in <b>Raum</b> 332 statt.,The class takes place today in room 332.,,https://youglish.com/pronounce/Raum/german
